編號,案類,發生(現)日期,發生時段,發生(現)地點
398,汽車竊盜,1071219,00~02,台北市萬華區艋舺大道390巷
399,汽車竊盜,1071220,06~08,台北市北投區八仙里大業路241~270號
400,汽車竊盜,1071225,10~12,台北市文山區萬隆里羅斯福路218巷38弄31~60號
401,汽車竊盜,1071227,20~22,台北市萬華區(雙園堤外平面停車場388號
402,汽車竊盜,1080101,04~06,台北市信義區吳興街156巷7弄1~30號
403,汽車竊盜,1080101,10~12,台北市松山區健康路241~270號
404,汽車竊盜,1080101,16~18,台北市萬華區(華中橋堤外停車場)
405,汽車竊盜,1080103,00~02,台北市士林區社園里通河西街2段121~150號
406,汽車竊盜,1080104,16~18,台北市萬華區(桂林路246巷環快橋下停車場62格)
407,汽車竊盜,1080108,12~14,台北市南港區新光里忠孝東路6段370巷1~30號
408,汽車竊盜,1080110,14~16,台北市萬華區(長順街底堤外便道第121號
409,汽車竊盜,1080115,04~06,台北市中正區文祥里金山南路1段121~150號
410,汽車竊盜,1080115,06~08,台北市南港區龍華街(內)
411,汽車竊盜,1080120,08~10,台北市中山區天津街61~90號
412,汽車竊盜,1080129,22~24,台北縣泰山鄉文程路91~120號
413,汽車竊盜,1080130,04~06,台北市北投區一德里中央北路4段404巷(口)
414,汽車竊盜,1080130,06~08,台北市北投區稻香里稻香路121~150號
415,汽車竊盜,1080205,04~06,台北縣三重市集英路61~90號
416,汽車竊盜,1080205,16~18,台北市北投區一德里大度路3段301~330號
417,汽車竊盜,1080415,12~14,台北市內湖區文德路31~60號
418,汽車竊盜,1080417,06~08,台北縣板橋市僑中二街120巷1~30號
419,汽車竊盜,1080520,02~04,台北市中正區林興里汀州路3段24巷(內)
420,汽車竊盜,1080603,06~08,台北縣石碇鄉南勢坑1號
421,汽車竊盜,1080615,06~08,台北市信義區中興里文昌街301~330號
422,汽車竊盜,1080622,22~24,台北市大安區通安里安和路2段59巷1~30號
