編號,案類,發生(現)日期,發生時段,發生(現)地點
248,汽車竊盜,1060717,04~06,台北市內湖區康寧路3段190巷31 ~ 60號
249,汽車竊盜,1060802,22~24,台北市南港區南港里南港路1段271 ~ 300號
250,汽車竊盜,1060817,01~03,台北市大同區通河西街1段第1 ~ 30號
251,汽車竊盜,1060825,07~09,台北市士林區福中里17鄰通河東街1段151 ~ 180號
252,汽車竊盜,1060831,10~12,台北市士林區富光里延平北路5段1巷旁邊31 ~ 60號
253,汽車竊盜,1060902,01~03,台北市萬華區峨嵋街61 ~ 90號
254,汽車竊盜,1060902,19~21,台北市南港區重陽路203巷
255,汽車竊盜,1060905,01~03,台北市北投區稻香里稻香路政戰學校圍牆旁
256,汽車竊盜,1060911,01~03,台北市大同區蓬萊里昌吉街132巷1 ~ 30號
257,汽車竊盜,1060911,04~06,台北市士林區文林路587巷口報廢汽車
258,汽車竊盜,1060911,10~12,台北市萬華區環河南路2段環南市場乙棟後方
259,汽車竊盜,1060919,04~06,台北市中正區東門里中山南路1 ~ 30號
260,汽車竊盜,1060925,07~09,台北市南港區研究院路101巷之停車格
261,汽車竊盜,1061001,19~21,台北市信義區廣居里忠孝東路5段236巷2弄內
262,汽車竊盜,1061009,22~24,台北市北投區一德里中央北路4段511 ~ 540號
263,汽車竊盜,1061012,10~12,台北市松山區塔悠路1 ~ 30號
264,汽車竊盜,1061017,01~03,台北市萬華區西藏路125巷1 ~ 30號
265,汽車竊盜,1061023,13~15,台北市內湖區新湖一路361 ~ 390號
266,汽車竊盜,1061025,16~18,台北市萬華區華中橋下第二停車場
267,汽車竊盜,1061025,19~21,台北市萬華區華中橋堤防外停車場
268,汽車竊盜,1061028,07~09,台北市南港區舊莊街1段91 ~ 120號
269,汽車竊盜,1061030,16~18,台北市士林區社子里通河西街2段1 ~ 30號
270,汽車竊盜,1061101,10~12,台北市北投區一德里中央北路4段331 ~ 360號
271,汽車竊盜,1061104,01~03,台北市士林區福佳里文林路587巷
272,汽車竊盜,1061104,16~18,台北市萬華區大理街160巷20弄糖部公園
273,汽車竊盜,1061108,07~09,台北市內湖區民權東路6段120巷口汽車AT~6252
274,汽車竊盜,1061109,22~24,台北市北投區洲美里008鄰洲美街139巷口
275,汽車竊盜,1061112,19~21,台北市士林區蘭興里克強路10巷磺溪便道上
276,汽車竊盜,1061113,04~06,台北市北投區吉利里致遠二路87巷1 ~ 30號
277,汽車竊盜,1061113,13~15,台北市中山區劍南路(靠西湖福湖宮)
278,汽車竊盜,1061119,10~12,台北市文山區樟林里024鄰興隆路4段58巷16弄1 ~ 30號
279,汽車竊盜,1061119,16~18,台北市中正區忠勤里中華路2段301巷底
280,汽車竊盜,1061202,13~15,台北市大同區承德路2段61 ~ 90號
281,汽車竊盜,1061203,04~06,台北市萬華區桂林路堤外61 ~ 90號
282,汽車竊盜,1061204,04~06,台北市萬華區寶興路80巷1 ~ 30號
283,汽車竊盜,1061207,13~15,台北市大同區延平河濱公園1 ~ 30號
284,汽車竊盜,1061211,04~06,台北市萬華區桂林路246巷38停車格弄
285,汽車竊盜,1061211,10~12,台北市萬華區桂林堤外便道91 ~ 120號
286,汽車竊盜,1061212,07~09,台北市萬華區雙園停車場481 ~ 510號
287,汽車竊盜,1061212,07~09,台北市萬華區長順街底堤外停車場第631 ~ 660號
288,汽車竊盜,1061217,16~18,台北市士林區社園里通河西街2段31 ~ 60號
289,汽車竊盜,1061218,04~06,台北市萬華區長順街堤外停車場301 ~ 330號
290,汽車竊盜,1061222,19~21,台北市內湖區安康路和成功路2段之間無名巷
291,汽車竊盜,1061227,19~21,台北市內湖區潭美街與新明路460巷口(路邊61 ~ 90號
292,汽車竊盜,1070101,10~12,台北市信義區三犁里松德路301 ~ 330號
293,汽車竊盜,1070106,16~18,台北市中山區玉門街1 ~ 30號
294,汽車竊盜,1070111,19~21,台北市萬華區長順街堤外便道
295,汽車竊盜,1070111,19~21,台北市北投區榮華里天母西路117巷堤防旁
296,汽車竊盜,1070114,10~12,台北市萬華區華中堤外停車場第4車道31 ~ 60號
297,汽車竊盜,1070115,04~06,台北市士林區福順里008鄰延平北路5段61 ~ 90號
298,汽車竊盜,1070117,07~09,台北市中正區龍光里寧波西街與泉州街路口
299,汽車竊盜,1070118,07~09,台北市文山區景慶里景文街146巷
300,汽車竊盜,1070122,04~06,台北市士林區福安里延平北路7段1 ~ 30號
301,汽車竊盜,1070122,19~21,台北市內湖區安康路106巷31 ~ 60號
302,汽車竊盜,1070201,22~24,台北市文山區萬美里010鄰萬利街萬芳國小後門
303,汽車竊盜,1070203,13~15,台北市北投區桃源里中央北路3段168巷口
304,汽車竊盜,1070214,01~03,台北市萬華區長順街堤外便道
305,汽車竊盜,1070214,07~09,台北市大同區昌吉街121 ~ 150號
306,汽車竊盜,1070302,20~22,台北市萬華區桂林路242巷61~90號
307,汽車竊盜,1070303,04~06,台北市萬華區(三清宮前停車格)
308,汽車竊盜,1070304,02~04,台北市萬華區大理街160巷20弄1~30號
309,汽車竊盜,1070305,06~08,台北市內湖區清白里金湖路181~210號
310,汽車竊盜,1070305,14~16,台北市中山區林森北路481~510號
311,汽車竊盜,1070306,00~02,台北市士林區福林里福林路254巷(路邊停車格)
312,汽車竊盜,1070306,02~04,台北市中山區民生東路1段(林森北路)
313,汽車竊盜,1070307,08~10,台北市中山區劍南路648巷口
314,汽車竊盜,1070308,04~06,台北市大同區保安街1~30號
315,汽車竊盜,1070310,14~16,台北市內湖區彩虹河濱公園
316,汽車竊盜,1070321,02~04,台北市大安區忠孝東路4段101巷(內)
