PropName,BladeName,Family,B,D,P,J,N,CT,CP,eta
pl 100.0x80.0 - 2,pl 100.0x80.0,pl,2,3.937007874015748,3.1496062992125986,0.357162,9045.0,0.11221,0.080382,0.49858
pl 100.0x80.0 - 2,pl 100.0x80.0,pl,2,3.937007874015748,3.1496062992125986,0.394265,9045.0,0.105475,0.077006,0.540023
pl 100.0x80.0 - 2,pl 100.0x80.0,pl,2,3.937007874015748,3.1496062992125986,0.438413,9045.0,0.100652,0.075331,0.585777
pl 100.0x80.0 - 2,pl 100.0x80.0,pl,2,3.937007874015748,3.1496062992125986,0.475022,9045.0,0.09292,0.071693,0.61567
pl 100.0x80.0 - 2,pl 100.0x80.0,pl,2,3.937007874015748,3.1496062992125986,0.515318,9045.0,0.086666,0.069388,0.643635
pl 100.0x80.0 - 2,pl 100.0x80.0,pl,2,3.937007874015748,3.1496062992125986,0.558612,9045.0,0.078996,0.065887,0.669759
pl 100.0x80.0 - 2,pl 100.0x80.0,pl,2,3.937007874015748,3.1496062992125986,0.598494,9045.0,0.07174,0.062763,0.684094
pl 100.0x80.0 - 2,pl 100.0x80.0,pl,2,3.937007874015748,3.1496062992125986,0.629449,9045.0,0.064509,0.058919,0.689172
pl 100.0x80.0 - 2,pl 100.0x80.0,pl,2,3.937007874015748,3.1496062992125986,0.677124,9045.0,0.056661,0.054476,0.704272
pl 100.0x80.0 - 2,pl 100.0x80.0,pl,2,3.937007874015748,3.1496062992125986,0.713302,9045.0,0.048578,0.049403,0.701389
pl 100.0x80.0 - 2,pl 100.0x80.0,pl,2,3.937007874015748,3.1496062992125986,0.754863,9045.0,0.039161,0.043988,0.672015
pl 100.0x80.0 - 2,pl 100.0x80.0,pl,2,3.937007874015748,3.1496062992125986,0.791733,9045.0,0.030545,0.038912,0.621493
pl 100.0x80.0 - 2,pl 100.0x80.0,pl,2,3.937007874015748,3.1496062992125986,0.673379,9051.0,0.056584,0.053906,0.706836
pl 100.0x80.0 - 2,pl 100.0x80.0,pl,2,3.937007874015748,3.1496062992125986,0.71904,9051.0,0.048157,0.049127,0.704849
pl 100.0x80.0 - 2,pl 100.0x80.0,pl,2,3.937007874015748,3.1496062992125986,0.757695,9051.0,0.03904,0.043441,0.68093
pl 100.0x80.0 - 2,pl 100.0x80.0,pl,2,3.937007874015748,3.1496062992125986,0.791543,9051.0,0.030497,0.038028,0.634781
pl 100.0x80.0 - 2,pl 100.0x80.0,pl,2,3.937007874015748,3.1496062992125986,0.83817,9051.0,0.020465,0.032273,0.531498
pl 100.0x80.0 - 2,pl 100.0x80.0,pl,2,3.937007874015748,3.1496062992125986,0.873724,9051.0,0.011708,0.027749,0.368661
pl 100.0x80.0 - 2,pl 100.0x80.0,pl,2,3.937007874015748,3.1496062992125986,0.915084,9051.0,0.001653,0.021133,0.071556
pl 100.0x80.0 - 2,pl 100.0x80.0,pl,2,3.937007874015748,3.1496062992125986,0.953374,9051.0,-0.007688,0.014961,-0.489927
pl 100.0x80.0 - 2,pl 100.0x80.0,pl,2,3.937007874015748,3.1496062992125986,0.995444,9051.0,-0.017657,0.008423,-2.086829
pl 100.0x80.0 - 2,pl 100.0x80.0,pl,2,3.937007874015748,3.1496062992125986,0.060142,12023.0,0.133705,0.092103,0.087307
pl 100.0x80.0 - 2,pl 100.0x80.0,pl,2,3.937007874015748,3.1496062992125986,0.088883,12023.0,0.132313,0.092666,0.126913
pl 100.0x80.0 - 2,pl 100.0x80.0,pl,2,3.937007874015748,3.1496062992125986,0.120046,12023.0,0.130606,0.092482,0.169532
pl 100.0x80.0 - 2,pl 100.0x80.0,pl,2,3.937007874015748,3.1496062992125986,0.149508,12023.0,0.128252,0.091144,0.210376
pl 100.0x80.0 - 2,pl 100.0x80.0,pl,2,3.937007874015748,3.1496062992125986,0.179057,12023.0,0.127525,0.090924,0.251136
pl 100.0x80.0 - 2,pl 100.0x80.0,pl,2,3.937007874015748,3.1496062992125986,0.20788,12023.0,0.126183,0.0901,0.291132
pl 100.0x80.0 - 2,pl 100.0x80.0,pl,2,3.937007874015748,3.1496062992125986,0.237881,12023.0,0.1244,0.088911,0.332834
pl 100.0x80.0 - 2,pl 100.0x80.0,pl,2,3.937007874015748,3.1496062992125986,0.267354,12023.0,0.123222,0.088252,0.373291
pl 100.0x80.0 - 2,pl 100.0x80.0,pl,2,3.937007874015748,3.1496062992125986,0.296439,12023.0,0.121014,0.086955,0.412549
pl 100.0x80.0 - 2,pl 100.0x80.0,pl,2,3.937007874015748,3.1496062992125986,0.327634,12023.0,0.119641,0.086468,0.453325
pl 100.0x80.0 - 2,pl 100.0x80.0,pl,2,3.937007874015748,3.1496062992125986,0.357279,12023.0,0.117474,0.085678,0.489869
pl 100.0x80.0 - 2,pl 100.0x80.0,pl,2,3.937007874015748,3.1496062992125986,0.386686,12023.0,0.11381,0.084055,0.523575
pl 100.0x80.0 - 2,pl 100.0x80.0,pl,2,3.937007874015748,3.1496062992125986,0.418012,12023.0,0.109758,0.082222,0.558002
pl 100.0x80.0 - 2,pl 100.0x80.0,pl,2,3.937007874015748,3.1496062992125986,0.448887,12023.0,0.105031,0.080261,0.587418
pl 100.0x80.0 - 2,pl 100.0x80.0,pl,2,3.937007874015748,3.1496062992125986,0.477153,12023.0,0.100517,0.078181,0.613473
pl 100.0x80.0 - 2,pl 100.0x80.0,pl,2,3.937007874015748,3.1496062992125986,0.506933,12023.0,0.095062,0.075655,0.636972
pl 100.0x80.0 - 2,pl 100.0x80.0,pl,2,3.937007874015748,3.1496062992125986,0.539203,12023.0,0.088254,0.072292,0.658259
pl 100.0x80.0 - 2,pl 100.0x80.0,pl,2,3.937007874015748,3.1496062992125986,0.566576,12023.0,0.082278,0.069231,0.673351
pl 100.0x80.0 - 2,pl 100.0x80.0,pl,2,3.937007874015748,3.1496062992125986,0.598391,12023.0,0.077694,0.06732,0.690594
pl 100.0x80.0 - 2,pl 100.0x80.0,pl,2,3.937007874015748,3.1496062992125986,0.50365,12070.0,0.094883,0.075173,0.6357
pl 100.0x80.0 - 2,pl 100.0x80.0,pl,2,3.937007874015748,3.1496062992125986,0.537282,12070.0,0.088321,0.071998,0.659094
pl 100.0x80.0 - 2,pl 100.0x80.0,pl,2,3.937007874015748,3.1496062992125986,0.564354,12070.0,0.083134,0.069385,0.676189
pl 100.0x80.0 - 2,pl 100.0x80.0,pl,2,3.937007874015748,3.1496062992125986,0.595848,12070.0,0.077132,0.066575,0.690321
pl 100.0x80.0 - 2,pl 100.0x80.0,pl,2,3.937007874015748,3.1496062992125986,0.623395,12070.0,0.072079,0.0641,0.700989
pl 100.0x80.0 - 2,pl 100.0x80.0,pl,2,3.937007874015748,3.1496062992125986,0.658262,12070.0,0.065857,0.060971,0.71101
pl 100.0x80.0 - 2,pl 100.0x80.0,pl,2,3.937007874015748,3.1496062992125986,0.68455,12070.0,0.060063,0.057241,0.718288
pl 100.0x80.0 - 2,pl 100.0x80.0,pl,2,3.937007874015748,3.1496062992125986,0.71758,12070.0,0.052608,0.05245,0.71975
pl 100.0x80.0 - 2,pl 100.0x80.0,pl,2,3.937007874015748,3.1496062992125986,0.746273,12070.0,0.046151,0.048363,0.712146
pl 100.0x80.0 - 2,pl 100.0x80.0,pl,2,3.937007874015748,3.1496062992125986,0.777204,12070.0,0.038328,0.043428,0.685917
pl 100.0x80.0 - 2,pl 100.0x80.0,pl,2,3.937007874015748,3.1496062992125986,0.808457,12070.0,0.03109,0.039167,0.64174
pl 100.0x80.0 - 2,pl 100.0x80.0,pl,2,3.937007874015748,3.1496062992125986,0.835326,12070.0,0.022445,0.034448,0.544264
pl 100.0x80.0 - 2,pl 100.0x80.0,pl,2,3.937007874015748,3.1496062992125986,0.86779,12070.0,0.014442,0.029819,0.420306
pl 100.0x80.0 - 2,pl 100.0x80.0,pl,2,3.937007874015748,3.1496062992125986,0.895447,12070.0,0.006906,0.024901,0.248314
pl 100.0x80.0 - 2,pl 100.0x80.0,pl,2,3.937007874015748,3.1496062992125986,0.92606,12070.0,-0.000596,0.019771,-0.027983
pl 100.0x80.0 - 2,pl 100.0x80.0,pl,2,3.937007874015748,3.1496062992125986,0.957162,12070.0,-0.008658,0.014275,-0.580549
pl 100.0x80.0 - 2,pl 100.0x80.0,pl,2,3.937007874015748,3.1496062992125986,0.982114,12070.0,-0.015068,0.009807,-1.509044
pl 57.0x20.0 - 2,pl 57.0x20.0,pl,2,2.2440944881889764,0.7874015748031497,0.106124,12036.0,0.126009,0.075878,0.17624
pl 57.0x20.0 - 2,pl 57.0x20.0,pl,2,2.2440944881889764,0.7874015748031497,0.159829,12036.0,0.117721,0.074442,0.252745
pl 57.0x20.0 - 2,pl 57.0x20.0,pl,2,2.2440944881889764,0.7874015748031497,0.2119,12036.0,0.110343,0.073942,0.316217
pl 57.0x20.0 - 2,pl 57.0x20.0,pl,2,2.2440944881889764,0.7874015748031497,0.264704,12036.0,0.101467,0.072297,0.371505
pl 57.0x20.0 - 2,pl 57.0x20.0,pl,2,2.2440944881889764,0.7874015748031497,0.31974,12036.0,0.091144,0.070016,0.416221
pl 57.0x20.0 - 2,pl 57.0x20.0,pl,2,2.2440944881889764,0.7874015748031497,0.373083,12036.0,0.082527,0.068744,0.447888
pl 57.0x20.0 - 2,pl 57.0x20.0,pl,2,2.2440944881889764,0.7874015748031497,0.422552,12036.0,0.07168,0.065983,0.459037
pl 57.0x20.0 - 2,pl 57.0x20.0,pl,2,2.2440944881889764,0.7874015748031497,0.477557,12036.0,0.05947,0.063526,0.447068
pl 57.0x20.0 - 2,pl 57.0x20.0,pl,2,2.2440944881889764,0.7874015748031497,0.531642,12036.0,0.047416,0.060534,0.416432
pl 57.0x20.0 - 2,pl 57.0x20.0,pl,2,2.2440944881889764,0.7874015748031497,0.584865,12036.0,0.033459,0.055497,0.35259
pl 57.0x20.0 - 2,pl 57.0x20.0,pl,2,2.2440944881889764,0.7874015748031497,0.643881,12036.0,0.018985,0.050592,0.241613
pl 57.0x20.0 - 2,pl 57.0x20.0,pl,2,2.2440944881889764,0.7874015748031497,0.686753,12036.0,0.006232,0.046215,0.092569
pl 57.0x20.0 - 2,pl 57.0x20.0,pl,2,2.2440944881889764,0.7874015748031497,0.743392,12036.0,-0.010938,0.040528,-0.200648
pl 57.0x20.0 - 2,pl 57.0x20.0,pl,2,2.2440944881889764,0.7874015748031497,0.795711,12036.0,-0.028237,0.034419,-0.652997
pl 57.0x20.0 - 2,pl 57.0x20.0,pl,2,2.2440944881889764,0.7874015748031497,0.854641,12036.0,-0.048102,0.02798,-1.469356
pl 57.0x20.0 - 2,pl 57.0x20.0,pl,2,2.2440944881889764,0.7874015748031497,0.069861,18041.0,0.134789,0.076495,0.1231
pl 57.0x20.0 - 2,pl 57.0x20.0,pl,2,2.2440944881889764,0.7874015748031497,0.10657,18041.0,0.13099,0.076931,0.181457
pl 57.0x20.0 - 2,pl 57.0x20.0,pl,2,2.2440944881889764,0.7874015748031497,0.14178,18041.0,0.124034,0.075861,0.231811
pl 57.0x20.0 - 2,pl 57.0x20.0,pl,2,2.2440944881889764,0.7874015748031497,0.17764,18041.0,0.117955,0.075074,0.279107
pl 57.0x20.0 - 2,pl 57.0x20.0,pl,2,2.2440944881889764,0.7874015748031497,0.212398,18041.0,0.112128,0.074525,0.319571
pl 57.0x20.0 - 2,pl 57.0x20.0,pl,2,2.2440944881889764,0.7874015748031497,0.249581,18041.0,0.106331,0.073565,0.360747
pl 57.0x20.0 - 2,pl 57.0x20.0,pl,2,2.2440944881889764,0.7874015748031497,0.282369,18041.0,0.09946,0.071717,0.3916
pl 57.0x20.0 - 2,pl 57.0x20.0,pl,2,2.2440944881889764,0.7874015748031497,0.318373,18041.0,0.092838,0.070323,0.420306
pl 57.0x20.0 - 2,pl 57.0x20.0,pl,2,2.2440944881889764,0.7874015748031497,0.355287,18041.0,0.087151,0.069812,0.443525
pl 57.0x20.0 - 2,pl 57.0x20.0,pl,2,2.2440944881889764,0.7874015748031497,0.387177,18041.0,0.079868,0.067498,0.458128
pl 57.0x20.0 - 2,pl 57.0x20.0,pl,2,2.2440944881889764,0.7874015748031497,0.427436,18041.0,0.072978,0.066558,0.468665
pl 57.0x20.0 - 2,pl 57.0x20.0,pl,2,2.2440944881889764,0.7874015748031497,0.461811,18041.0,0.065492,0.064751,0.467094
pl 57.0x20.0 - 2,pl 57.0x20.0,pl,2,2.2440944881889764,0.7874015748031497,0.494514,18041.0,0.056038,0.06154,0.450296
pl 57.0x20.0 - 2,pl 57.0x20.0,pl,2,2.2440944881889764,0.7874015748031497,0.533485,18041.0,0.046855,0.059286,0.421624
pl 57.0x20.0 - 2,pl 57.0x20.0,pl,2,2.2440944881889764,0.7874015748031497,0.56735,18041.0,0.038055,0.056074,0.385037
pl 57.0x20.0 - 2,pl 57.0x20.0,pl,2,2.2440944881889764,0.7874015748031497,0.607344,18041.0,0.028197,0.052178,0.328191
pl 57.0x20.0 - 2,pl 57.0x20.0,pl,2,2.2440944881889764,0.7874015748031497,0.63946,18041.0,0.019323,0.048937,0.252493
pl 57.0x20.0 - 2,pl 57.0x20.0,pl,2,2.2440944881889764,0.7874015748031497,0.676433,18041.0,0.008939,0.04554,0.132771
pl 57.0x20.0 - 2,pl 57.0x20.0,pl,2,2.2440944881889764,0.7874015748031497,0.709688,18041.0,-0.001619,0.041974,-0.027408
pl 57.0x20.0 - 2,pl 57.0x20.0,pl,2,2.2440944881889764,0.7874015748031497,0.604092,17983.0,0.029349,0.05154,0.343998
pl 57.0x20.0 - 2,pl 57.0x20.0,pl,2,2.2440944881889764,0.7874015748031497,0.639736,17983.0,0.019777,0.048025,0.263449
pl 57.0x20.0 - 2,pl 57.0x20.0,pl,2,2.2440944881889764,0.7874015748031497,0.675188,17983.0,0.008888,0.044004,0.136361
pl 57.0x20.0 - 2,pl 57.0x20.0,pl,2,2.2440944881889764,0.7874015748031497,0.713767,17983.0,-0.001628,0.040863,-0.028469
pl 57.0x20.0 - 2,pl 57.0x20.0,pl,2,2.2440944881889764,0.7874015748031497,0.749547,17983.0,-0.012637,0.037419,-0.253176
pl 57.0x20.0 - 2,pl 57.0x20.0,pl,2,2.2440944881889764,0.7874015748031497,0.78091,17983.0,-0.023391,0.033901,-0.538813
pl 57.0x20.0 - 2,pl 57.0x20.0,pl,2,2.2440944881889764,0.7874015748031497,0.812201,17983.0,-0.034077,0.030484,-0.907952
pl 57.0x20.0 - 2,pl 57.0x20.0,pl,2,2.2440944881889764,0.7874015748031497,0.861367,17983.0,-0.051269,0.025849,-1.70862
pl 57.0x20.0 - 2,pl 57.0x20.0,pl,2,2.2440944881889764,0.7874015748031497,0.053079,24039.0,0.138925,0.081735,0.090219
pl 57.0x20.0 - 2,pl 57.0x20.0,pl,2,2.2440944881889764,0.7874015748031497,0.080139,24039.0,0.134141,0.080865,0.132937
